"","shape","rate"
"605",3.6737863714601,1.8433224678413
"606",7.93132459920168,3.29151190287754
"607",4.56742428329388,2.35550471001717
"608",10.0554239901194,4.225697351268
"609",18.0072502150796,7.36036599900197
"610",13.8347849809198,5.04933323017825
"611",9.06927585937057,4.39914843801068
"612",9.13447585174271,4.11263388383227
"613",6.28679063876331,2.74831673766667
"614",6.59169031621695,2.48375066157877
"615",0.252340664416761,0.4863805006672
"616",0,0
"617",1.96719784323982,1.34118170887648
"618",6.563551637982,3.22909110348022
"619",8.59496673925913,3.74518248699426
"620",0,0
"621",0,0
"622",5.39348239804353,2.44573414866717
"623",1.42025601011875,1.09831033266193
"624",2.88671644534842,1.54919480594074
"625",8.31646469057614,3.52131585313484
"626",0,0
"627",9.80304395316658,3.58181391438336
"628",8.33995646061903,3.02264156715656
"629",3.72653884528999,1.85818122706672
"630",7.21775813509398,2.59131694230301
"631",5.40361053932246,2.15288873980146
"632",8.23490943478751,2.93690274624654
"633",2.07202899474488,1.70961696494013
"634",3.19056517125564,2.19965480711282
"635",3.67054997246687,1.71619885699366
"636",31.7561915952206,11.135843671125
"637",8.13632866914742,2.51957384861959
"638",8.72361180574969,3.65734802558755
"639",8.99643105761894,2.75619840426081
"640",18.3447570107345,6.65299553961326
"641",11.2962637538501,3.22620068566644
"642",44.8895624963295,15.5265535930479
"643",6.03975186139654,2.8795087326581
"644",7.84648578735581,2.57404884496835
"645",3.34585003344255,1.90177818240707
"646",13.7852033663292,5.41957010600485
"647",3.2776078927687,1.5785057946763
"648",6.28316085408999,2.3026701984883
"649",7.99620636411911,2.7200240881674
"650",2.58098566149778,1.37584865724897
"651",5.99851700132693,2.08908843501108
"652",7.4954289230353,2.86805517996989
"653",1.74921995662682,1.16278959644944
"654",2.27691674901204,1.47399606961357
"655",18.0072502150796,7.36036599900197
"656",44.8895624963295,15.5265535930479
"657",6.17948825512288,2.45581191689534
"658",4.35037491814273,1.76696332580008
"659",7.44801555770899,3.23938614124284
"660",0.195058262771695,0.424063521231231
"661",5.08039061564643,2.26321477219862
"662",19.0863999581828,6.61470694461273
"663",4.57834368813374,1.83972375440926
"664",4.17127281055233,1.6693658333569
"665",1.92785628751477,1.44478917496051
"666",6.14557688210397,2.18799741160451
"667",8.49191347264958,3.18028808279909
"668",6.89674109911209,2.38565043950406
"669",5.75826815078768,2.49053648310941
"670",11.1310602070866,3.76775510310372
